Stkcd,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
601628.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000932.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
300366.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002161.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600019.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000955.XSHE,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
601233.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002524.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000425.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300713.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002911.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300331.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300110.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300136.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601128.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300173.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601788.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002471.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002116.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603871.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002353.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002923.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002318.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300067.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600640.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002638.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002360.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300707.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002562.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000878.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600789.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600226.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300078.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600719.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300047.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603655.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600510.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300485.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
