ReportID,RelativeRecommendation,RelativeAnaExperience,RelativeCoNumber,RelativeNumber,IsStarAnalyst,AnalystExperience,FollowCoNumber,ForecastNumber,roe,LOSS
8714997,0.0,1.02,2.33,12.4,0.0,9.34,19.0,76.0,0.07859095090818846,0.0
8713303,0.0,17.49,1.33,14.4,0.0,25.81,4.0,13.0,0.07859095090818846,0.0
8711803,0.0,4.6,1.33,52.4,1.0,12.92,14.0,39.0,0.07859095090818846,0.0
8711683,0.0,3.02,17.33,230.4,0.0,11.34,31.0,120.0,0.07859095090818846,0.0
8709047,0.0,7.02,5.33,169.4,0.0,15.34,19.0,92.0,0.07859095090818846,0.0
8695627,0.0,1.02,3.38,17.56,0.0,9.34,19.0,76.0,0.07859095090818846,0.0
8685497,-1.0,-4.67,-14.63,-75.44,0.0,3.66,6.0,18.0,0.07859095090818846,0.0
8685309,0.0,7.02,6.38,172.56,0.0,15.34,19.0,92.0,0.07859095090818846,0.0
8685229,0.0,-2.73,-11.63,-58.13,0.0,5.56,7.0,31.0,0.07859095090818846,0.0
8653781,0.0,17.55,2.38,20.88,0.0,25.81,4.0,13.0,0.07859095090818846,0.0
8651893,0.0,-3.09,-4.63,-52.13,0.0,5.17,18.0,59.0,0.07859095090818846,0.0
8650841,0.0,-5.42,-11.13,-73.5,0.0,2.74,9.0,13.0,0.07859095090818846,0.0
8650229,0.0,4.66,2.38,58.88,1.0,12.92,14.0,39.0,0.07859095090818846,0.0
8637863,0.0,1.18,3.88,17.5,0.0,9.34,19.0,76.0,0.07859095090818846,0.0
8636285,0.0,-3.21,9.75,-3.94,1.0,4.97,30.0,86.0,0.07859095090818846,0.0
8636257,-1.0,-6.13,-15.13,-80.5,0.0,2.03,16.0,36.0,0.07859095090818846,0.0
8636217,0.0,6.45,45.88,71.5,0.0,14.61,49.0,92.0,0.07859095090818846,0.0
8634041,-1.0,-4.51,-14.13,-73.5,0.0,3.66,6.0,18.0,0.07859095090818846,0.0
8633457,0.0,3.18,17.88,226.5,0.0,11.34,31.0,120.0,0.07859095090818846,0.0
8632705,0.0,-4.05,-7.13,-56.5,1.0,4.11,13.0,73.0,0.07859095090818846,0.0
8632585,0.0,4.76,2.88,59.5,1.0,12.92,14.0,39.0,0.07859095090818846,0.0
8632193,0.0,7.18,6.88,174.5,0.0,15.34,19.0,92.0,0.07859095090818846,0.0
8620585,0.0,0.73,5.42,15.58,0.0,9.34,19.0,76.0,0.07859095090818846,0.0
8564795,0.0,0.64,5.31,17.25,0.0,9.34,19.0,76.0,0.07859095090818846,0.0
8564087,0.0,-4.13,10.47,-11.07,1.0,4.97,30.0,86.0,0.07859095090818846,0.0
8562747,-1.0,-5.98,-11.69,-73.75,0.0,2.72,5.0,9.0,0.07859095090818846,0.0
8562531,0.0,17.1,4.31,24.13,0.0,25.81,4.0,13.0,0.07859095090818846,0.0
8558547,0.0,-4.6,-7.69,-60.75,1.0,4.11,13.0,73.0,0.07859095090818846,0.0
